MultiStation: New Germany Periodically: 01/01/2019 00:00-31/12/2021 23:00  Type: AVG 1 Hr.;;
;;
Date & Time;WD;WS
;Deg;m/s
01/01/2019 00:00;68,8;1,5
01/01/2019 01:00;75,8;1,4
01/01/2019 02:00;180,2;1,1
01/01/2019 03:00;101,3;0,7
01/01/2019 04:00;65,7;1,2
01/01/2019 05:00;74,2;0,9
01/01/2019 06:00;96,3;0,3
01/01/2019 07:00;82,6;0,7
01/01/2019 08:00;90,1;1,4
01/01/2019 09:00;97,8;1,1
01/01/2019 10:00;122,4;1,1
01/01/2019 11:00;77,3;1,5
01/01/2019 12:00;77,3;2,3
01/01/2019 13:00;79,1;2,3
01/01/2019 14:00;85;2,9
01/01/2019 15:00;76,6;3,7
01/01/2019 16:00;78,1;2,9
01/01/2019 17:00;68,5;2,1
01/01/2019 18:00;81,6;1
01/01/2019 19:00;157,2;0,4
01/01/2019 20:00;250,7;0,4
01/01/2019 21:00;217,9;3,4
01/01/2019 22:00;213,6;4,3
01/01/2019 23:00;206,1;5,2
02/01/2019 00:00;209,4;6,9
02/01/2019 01:00;207,6;7,3
02/01/2019 02:00;208,6;6,1
02/01/2019 03:00;205,4;5,9
02/01/2019 04:00;203,4;4,9
02/01/2019 05:00;211;3,9
02/01/2019 06:00;212,9;4
02/01/2019 07:00;208,4;4,6
02/01/2019 08:00;205,3;4
02/01/2019 09:00;196,9;4,6
02/01/2019 10:00;200,6;5,3
02/01/2019 11:00;203,2;5,9
02/01/2019 12:00;202,5;5,4
02/01/2019 13:00;203,7;5,4
02/01/2019 14:00;194,2;4,1
02/01/2019 15:00;179,6;3,2
02/01/2019 16:00;202,2;4,1
02/01/2019 17:00;197,8;5,9
02/01/2019 18:00;182,5;4,5
02/01/2019 19:00;171,6;3
02/01/2019 20:00;189;2,8
02/01/2019 21:00;201,9;2,7
02/01/2019 22:00;213,9;2,7
02/01/2019 23:00;189,7;2,3
03/01/2019 00:00;233,1;2,1
03/01/2019 01:00;205,8;2,7
03/01/2019 02:00;229,5;2
03/01/2019 03:00;223,4;1,7
03/01/2019 04:00;240,1;1,4
03/01/2019 05:00;246,1;1,7
03/01/2019 06:00;257,1;1,1
03/01/2019 07:00;253,9;1,1
03/01/2019 08:00;179,6;1,2
03/01/2019 09:00;137,8;1,7
03/01/2019 10:00;96,4;1,7
03/01/2019 11:00;113,8;1,1
03/01/2019 12:00;69,3;1,5
03/01/2019 13:00;75,7;1,6
03/01/2019 14:00;82,4;1,8
03/01/2019 15:00;75,3;2,1
03/01/2019 16:00;77,3;2,4
03/01/2019 17:00;80,3;1
03/01/2019 18:00;77,3;1,1
03/01/2019 19:00;147,8;1
03/01/2019 20:00;167,5;0,8
03/01/2019 21:00;181,1;0,8
03/01/2019 22:00;143,7;0,7
03/01/2019 23:00;133,6;0,7
04/01/2019 00:00;93,7;0,8
04/01/2019 01:00;130,7;1,1
04/01/2019 02:00;84,2;1,6
04/01/2019 03:00;66,6;1,5
04/01/2019 04:00;61,3;1,4
04/01/2019 05:00;82,3;1,3
04/01/2019 06:00;84,9;1,4
04/01/2019 07:00;68,6;2,1
