Date & Time;City Hall - Durban;City Hall - Durban;Settlers;Settlers;Wentworth;Wentworth
;PM10;PM2.5;PM10;PM2.5;PM10;PM2.5
;µg/m3;µg/m3;µg/m3;µg/m3;µg/m3;µg/m3
01/01/2019 00:00;31,6;14,1;OffScan;OffScan;23,2;11,1
01/01/2019 01:00;27,9;11,4;OffScan;OffScan;22,1;10,5
01/01/2019 02:00;27,3;11,9;OffScan;OffScan;23,1;11
01/01/2019 03:00;29,9;12,1;OffScan;OffScan;24;11,1
01/01/2019 04:00;34;14,1;OffScan;OffScan;26,3;12,8
01/01/2019 05:00;41,4;16,4;OffScan;OffScan;29,5;13,5
01/01/2019 06:00;51;18,1;OffScan;OffScan;32,8;13,9
01/01/2019 07:00;50,3;17,2;OffScan;OffScan;32,7;13,8
01/01/2019 08:00;35,9;14,1;OffScan;OffScan;32,6;15,2
01/01/2019 09:00;40,2;14,7;OffScan;OffScan;32,8;17
01/01/2019 10:00;35,1;12,5;OffScan;OffScan;28,1;14,5
01/01/2019 11:00;28,9;10,7;OffScan;OffScan;26,7;12,1
01/01/2019 12:00;32,9;11,7;OffScan;OffScan;25,7;11,7
01/01/2019 13:00;30,5;11,6;OffScan;OffScan;22,9;11,2
01/01/2019 14:00;30,7;11,7;OffScan;OffScan;24,5;11,7
01/01/2019 15:00;32,6;12,3;OffScan;OffScan;<Samp;<Samp
01/01/2019 16:00;34,5;13,8;OffScan;OffScan;<Samp;<Samp
01/01/2019 17:00;40,2;15,9;OffScan;OffScan;NoData;NoData
01/01/2019 18:00;45,5;17,1;OffScan;OffScan;NoData;NoData
01/01/2019 19:00;43,3;17,4;OffScan;OffScan;NoData;NoData
01/01/2019 20:00;45,2;18,4;OffScan;OffScan;NoData;NoData
01/01/2019 21:00;39,9;18,1;OffScan;OffScan;<Samp;<Samp
01/01/2019 22:00;52,8;20,5;OffScan;OffScan;53,1;23,7
01/01/2019 23:00;43,3;18,4;OffScan;OffScan;38,1;19,9
02/01/2019 00:00;37,4;16,4;OffScan;OffScan;38,1;18,6
02/01/2019 01:00;36,3;15,8;OffScan;OffScan;34;17,2
02/01/2019 02:00;33,4;14,5;OffScan;OffScan;36,2;17,1
02/01/2019 03:00;38,9;16;OffScan;OffScan;38,6;16,9
02/01/2019 04:00;34,4;13,7;OffScan;OffScan;36,3;15,5
02/01/2019 05:00;32,1;12,7;OffScan;OffScan;38,4;15,1
02/01/2019 06:00;33,7;12,7;OffScan;OffScan;34,9;14,6
02/01/2019 07:00;31,7;12,1;OffScan;OffScan;29,3;14
02/01/2019 08:00;33,8;11,5;OffScan;OffScan;26,7;10,3
02/01/2019 09:00;31,6;9,2;OffScan;OffScan;25,5;8,9
02/01/2019 10:00;30,6;8,9;OffScan;OffScan;31,1;10
02/01/2019 11:00;29,5;9,1;OffScan;OffScan;33,2;11,6
02/01/2019 12:00;25,8;8,7;OffScan;OffScan;31,1;11,9
02/01/2019 13:00;20,7;7,5;OffScan;OffScan;23,1;8,6
02/01/2019 14:00;18,5;6,5;OffScan;OffScan;27,6;11,1
02/01/2019 15:00;22,9;7,5;OffScan;OffScan;22;9,2
02/01/2019 16:00;30,3;8,6;OffScan;OffScan;20,3;8,2
02/01/2019 17:00;16,1;7;OffScan;OffScan;17,5;7,5
02/01/2019 18:00;15,5;6,7;OffScan;OffScan;15,6;6,7
02/01/2019 19:00;19,2;8,2;OffScan;OffScan;21,6;8,7
02/01/2019 20:00;19,5;8;OffScan;OffScan;22,3;8,1
02/01/2019 21:00;19,6;7,8;OffScan;OffScan;20,8;8,3
02/01/2019 22:00;18,3;7,1;OffScan;OffScan;15,1;6,5
02/01/2019 23:00;13,1;6;OffScan;OffScan;12,8;5,7
03/01/2019 00:00;16,4;5,9;OffScan;OffScan;11,2;4,6
03/01/2019 01:00;13,5;5,6;OffScan;OffScan;11,9;5,2
03/01/2019 02:00;14,3;5,6;OffScan;OffScan;12,3;5,2
03/01/2019 03:00;18,6;6,2;OffScan;OffScan;13,4;5,5
03/01/2019 04:00;14,3;5,8;OffScan;OffScan;13,3;5,7
03/01/2019 05:00;13,1;5,5;OffScan;OffScan;12,3;5,1
03/01/2019 06:00;15,8;6,2;OffScan;OffScan;14,5;5,7
03/01/2019 07:00;31,6;9,3;OffScan;OffScan;18,8;6,6
03/01/2019 08:00;23,2;7,7;OffScan;OffScan;18,8;6,8
03/01/2019 09:00;34,9;10,1;OffScan;OffScan;19,4;7
03/01/2019 10:00;16,7;6,6;OffScan;OffScan;12,4;5,6
03/01/2019 11:00;16,9;6,3;OffScan;OffScan;14,3;5,7
03/01/2019 12:00;22;7;OffScan;OffScan;18,5;6,3
03/01/2019 13:00;24,7;7,6;OffScan;OffScan;24,8;7,7
03/01/2019 14:00;27,6;8;OffScan;OffScan;22,1;7,4
03/01/2019 15:00;27,5;8,5;OffScan;OffScan;22,4;7,5
03/01/2019 16:00;24,9;7,9;OffScan;OffScan;20,1;7,7
03/01/2019 17:00;28,1;9,2;OffScan;OffScan;25,9;8,9
03/01/2019 18:00;34,8;10,1;OffScan;OffScan;27,3;9,1
03/01/2019 19:00;51,5;13,6;OffScan;OffScan;25,2;9,5
03/01/2019 20:00;73,5;18,5;OffScan;OffScan;37,5;11,9
